Date,IEF,SHY,TIP,TLT,HYG,LQD,AGG,BND,EMB,MUB,PFF,^GSPC,UDN,EURUSD=X,^VIX,CL=F,^IRX,^FVX,^TNX,^TYX
2002-07-30,81.94000244140625,81.12000274658203,,81.75,,101.30000305175781,,,,,,898.9600219726562,,,32.040000915527344,26.8700008392334,1.6770000457763672,3.565000057220459,4.547999858856201,5.400000095367432
2002-07-31,82.05000305175781,81.16999816894531,,81.94999694824219,,101.80000305175781,,,,,,902.780029296875,,,32.779998779296875,27.399999618530273,1.6820000410079956,3.628000020980835,4.5970001220703125,5.39300012588501
2002-08-01,82.54000091552734,81.33000183105469,,82.54000091552734,,102.4000015258789,,,,,,911.6199951171875,,,32.77000045776367,27.059999465942383,1.6670000553131104,3.427999973297119,4.445000171661377,5.310999870300293
2002-08-02,83.0199966430664,81.45999908447266,,83.16000366210938,,102.9000015258789,,,,,,884.4000244140625,,,37.529998779296875,26.200000762939453,1.6380000114440918,3.322999954223633,4.367000102996826,5.276000022888184
2002-08-05,83.68000030517578,81.62999725341797,,84.04000091552734,,103.6500015258789,,,,,,864.239990234375,,,41.95000076293945,26.479999542236328,1.590000033378601,3.184000015258789,4.2729997634887695,5.195000171661377
2002-08-06,83.51000213623047,81.61000061035156,,83.87000274658203,,102.5,,,,,,834.5999755859375,,,43.060001373291016,26.739999771118164,1.6080000400543213,3.2360000610351562,4.310999870300293,5.216000080108643
2002-08-07,83.19000244140625,81.58999633789062,,83.5999984741211,,102.69999694824219,,,,,,859.5700073242188,,,40.720001220703125,26.920000076293945,1.6169999837875366,3.3369998931884766,4.348999977111816,5.241000175476074
2002-08-08,83.33000183105469,81.61000061035156,,83.58000183105469,,103.0,,,,,,876.77001953125,,,38.529998779296875,26.5,1.5679999589920044,3.3510000705718994,4.4120001792907715,5.250999927520752
2002-08-09,83.31999969482422,81.4800033569336,,84.0,,102.80000305175781,,,,,,898.72998046875,,,37.40999984741211,26.530000686645508,1.5850000381469727,3.3440001010894775,4.370999813079834,5.182000160217285
2002-08-12,84.0999984741211,81.51000213623047,,85.30000305175781,,103.0999984741211,,,,,,908.6400146484375,,,37.22999954223633,26.579999923706055,1.5800000429153442,3.2309999465942383,4.22599983215332,5.105000019073486
2002-08-13,84.31999969482422,81.58999633789062,,85.77999877929688,,103.4800033569336,,,,,,903.7999877929688,,,37.2400016784668,27.860000610351562,1.6319999694824219,3.197000026702881,4.189000129699707,5.063000202178955
2002-08-14,84.98999786376953,81.69000244140625,,87.45999908447266,,104.0199966430664,,,,,,884.2100219726562,,,35.560001373291016,28.229999542236328,1.5829999446868896,3.0910000801086426,4.035999774932861,4.936999797821045
2002-08-15,84.0,81.37999725341797,,86.37999725341797,,104.25,,,,,,919.6199951171875,,,31.899999618530273,28.18000030517578,1.6169999837875366,3.2960000038146973,4.164999961853027,4.959000110626221
2002-08-16,84.25,81.54000091552734,,86.44000244140625,,104.4000015258789,,,,,,930.25,,,29.8799991607666,28.899999618530273,1.5850000381469727,3.2750000953674316,4.177999973297119,4.973999977111816
2002-08-19,83.51000213623047,81.41000366210938,,85.05000305175781,,103.6500015258789,,,,,,928.77001953125,,,29.600000381469727,29.420000076293945,1.5820000171661377,3.4000000953674316,4.307000160217285,5.078999996185303
2002-08-20,83.80000305175781,81.51000213623047,,85.62000274658203,,104.80000305175781,,,,,,950.7000122070312,,,29.520000457763672,29.65999984741211,1.6119999885559082,3.3369998931884766,4.245999813079834,5.038000106811523
2002-08-21,83.77999877929688,81.45999908447266,,85.68000030517578,,105.0,,,,,,937.4299926757812,,,29.18000030517578,28.600000381469727,1.6119999885559082,3.3340001106262207,4.2220001220703125,5.013999938964844
2002-08-22,83.80000305175781,81.5,,85.55000305175781,,105.25,,,,,,949.3599853515625,,,28.639999389648438,29.100000381469727,1.6019999980926514,3.315000057220459,4.239999771118164,5.031000137329102
2002-08-23,83.72000122070312,81.4800033569336,,85.19999694824219,,105.19999694824219,,,,,,962.7000122070312,,,28.079999923706055,28.600000381469727,1.6119999885559082,3.3320000171661377,4.27400016784668,5.071000099182129
2002-08-26,83.91999816894531,81.48999786376953,,85.69999694824219,,105.0,,,,,,940.8599853515625,,,30.729999542236328,28.649999618530273,1.6200000047683716,3.3429999351501465,4.269000053405762,5.054999828338623
2002-08-27,83.75,81.4000015258789,,85.4000015258789,,105.19999694824219,,,,,,947.9500122070312,,,29.889999389648438,29.299999237060547,1.6299999952316284,3.2809998989105225,4.209000110626221,5.002999782562256
2002-08-28,84.08999633789062,81.51000213623047,,86.04000091552734,,105.4000015258789,,,,,,934.8200073242188,,,31.239999771118164,28.670000076293945,1.6399999856948853,3.319999933242798,4.242000102996826,5.026000022888184
2002-08-29,84.56999969482422,81.63999938964844,,86.76000213623047,,105.80000305175781,,,,,,917.8699951171875,,,35.41999816894531,28.25,1.6349999904632568,3.2360000610351562,4.1579999923706055,4.986999988555908
2002-08-30,84.58000183105469,81.62999725341797,,86.75,,106.0,,,,,,917.7999877929688,,,33.63999938964844,28.8700008392334,1.6299999952316284,3.190999984741211,4.125,4.947000026702881
2002-09-02,84.58000183105469,81.62999725341797,,86.75,,106.0,,,,,,917.7999877929688,,,33.63999938964844,28.8700008392334,1.6299999952316284,3.190999984741211,4.125,4.947000026702881
2002-09-03,85.08999633789062,81.62000274658203,,87.08000183105469,,105.9000015258789,,,,,,916.0700073242188,,,37.119998931884766,28.690000534057617,1.6319999694824219,3.114000082015991,4.053999900817871,4.88100004196167
2002-09-04,85.16000366210938,81.66999816894531,,88.02999877929688,,106.0999984741211,,,,,,878.02001953125,,,39.209999084472656,27.940000534057617,1.6069999933242798,3.0199999809265137,3.9739999771118164,4.809000015258789
2002-09-05,85.5999984741211,81.69000244140625,,88.56999969482422,,106.5999984741211,,,,,,893.4000244140625,,,39.58000183105469,28.549999237060547,1.5820000171661377,2.938999891281128,3.9140000343322754,4.775000095367432
2002-09-06,85.08999633789062,81.55000305175781,,87.97000122070312,,106.33000183105469,,,,,,879.1500244140625,,,36.880001068115234,29.75,1.5720000267028809,2.938999891281128,3.9230000972747803,4.7870001792907715
2002-09-09,84.94000244140625,81.5199966430664,,87.5,,105.25,,,,,,893.9199829101562,,,39.099998474121094,29.450000762939453,1.628999948501587,3.0899999141693115,4.051000118255615,4.86299991607666
2002-09-10,84.70999908447266,81.44000244140625,,87.16999816894531,,105.26000213623047,,,,,,902.9600219726562,,,35.97999954223633,30.049999237060547,1.6469999551773071,3.1579999923706055,4.091000080108643,4.889999866485596
2002-09-11,84.61000061035156,81.4000015258789,,87.0,,105.5,,,,,,910.6300048828125,,,34.810001373291016,29.729999542236328,1.656999945640564,3.1649999618530273,4.089000225067139,4.9070000648498535
